Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas01               Pavarde01                      8         5         8         3         3         7         3        10         2         3         7         5         6         3         5         3
Vardas02               Pavarde02                      6         6         5         5         1         8         4         3         3         8         5         4         5         5         5         7
Vardas03               Pavarde03                      8         3         2         7         7         9         5        10         9         9        10         4         3         3         8         5
Vardas04               Pavarde04                      7         9         8         9         6         8         8         8         3         9         5         2         5         5         5         1
Vardas05               Pavarde05                      7         4         6         5         8         2         1         2         8         9         1         6         5         5         2         9
Vardas06               Pavarde06                     10         4        10        10         2         3        10         7         8         5         3         9         5         1         5         2
Vardas07               Pavarde07                      8         4         5         2         8         9         2         3         8        10         8         7         3         5         9         9
Vardas08               Pavarde08                      3         5         2         1         3         8         3         6         7        10         9         8         9         8         4         1
Vardas09               Pavarde09                      5         4         9         5         2         5         3         6         9         7        10         9        10         9         8         7
Vardas10              Pavarde010                      9         2         6         5         7         1         2         1         6         2         5         1         1         9        10         4
Vardas11              Pavarde011                      1         9         8         5         9        10         4         1         9         1         1        10         4         4         4         3
Vardas12              Pavarde012                      7         1         4         8         6         7         6         8         7         2        10         6         2         7         3        10
Vardas13              Pavarde013                      3         2         3         2         7         9         3         6         4         2         3         2        10         8         5         7
Vardas14              Pavarde014                      5         9         5         9         3         1         1         6         1         2         1         4         9         9         6         1
Vardas15              Pavarde015                      5         2         7         3         9         2         4         3         8         1         5         2        10         9         3         8
Vardas16              Pavarde016                     10         1         8         5         2         9         4        10         9         6         6         1         2         1         9         7
Vardas17              Pavarde017                      1         7         6         5         4         5         4         5         1         6         1         5         8         1         5         7
Vardas18              Pavarde018                      6         7         6         1         1         9         6         7        10        10         8         3         1         7         8        10
Vardas19              Pavarde019                      1         4         6         8         9         2        10         6         2        10         8         5         9        10         1        10
Vardas20              Pavarde020                     10         4         6         1         6         5         5         3         4         2         1         3         2         9         9        10
Vardas21              Pavarde021                      9         6         9         9         8         8         3         4        10         5         1         4         6        10         4         8
